document,summary
"b""israeli security forces tripled their usual numbers around jerusalem 's old city friday morning as the city braced for possible riots during muslim prayers at the holy land 's most contentious religious site .""",b'israeli police on high alert for muslim protests at jerusalem renovation site'
"b'chinese foreign minister tang jiaxuan attended here thursday a reception held by u.s. ambassador to china clark randt , to mark the ##th anniversary of sino-u.s. shanghai communique .'",b'reception held on ##th anniversary of shanghai communique'
"b'indonesian share prices closed #.# percent lower wednesday in thin trade on continued profit-taking in blue chips but a late rebound in telkom and sampoerna capped losses , dealers said .'",b'jakarta shares close #.# percent lower on continued profit-taking'
"b'it looks like something george jetson might keep on the coffee table , electronic furniture of the future as seen from the ##s .'",b'futuristic ##s furniture as pc'
"b'yugoslav armored vehicles and troops stood on alert near the northern village of stari UNK sunday while international monitors tried to avert an explosion of the kosovo crisis , urging ethnic albanian rebels to free eight captive soldiers .'",b'precede kosovska mitrovica kosovo monitors work to free yugoslav soldiers prevent attack'
"b'tokyo stocks fell sharply today on arbitrage-linked selling , and the dollar weakened against the yen on UNK selling by market players .'",b'stocks fall sharply dollar weakens in tokyo'
"b""a chinese court sentenced two prominent dissidents to lengthy prison terms on monday , punishing them for plotting to subvert the communist party 's monopoly on political power .""",b'two dissidents in china sentenced to prison'
"b""`` terminator '' star arnold schwarzenegger on wednesday sparred with his only female opponent in the race to become california 's next leader , trading salvoes of personal and political barbs .""",b'terminator trades sharp jibes with political rival'
"b""india 's booming economy is likely to keep growing at a fast pace in the coming five years , the government said thursday , but that poor infrastructure and outdated regulations will keep it from achieving an even higher rate of growth .""",b'official survey says indian economy will keep growing but calls for key reforms'
"b""anatoly karpov became the international chess federation 's world champion thursday when he and gata kamsky agreed to a draw in game ## of their match in elista , russia .""",b'draw nets match win for karpov'
"b'porsche automobil holding se said tuesday that its pretax profit for the first six months of its fiscal year rose ## percent compared to a year earlier , and reiterated that it has no plans to acquire volkswagen ag .'",b'porsche says #-month pretax profit reached euro# .# billion'
"b""iraq 's dwindling christian community was grieving and afraid on monday after militants seized a baghdad church during evening mass , held the congregation hostage and triggered a raid by iraqi security forces .""",b'iraqi christians mourn after church siege kills ##'
"b""a pharmaceutical trade organization has suspended the membership of drugmaker merck 's british subsidiary , saying it violated the association 's code of practice .""",b'pharmacy association disciplines merck s british subsidiary'
"b'egyptian , syrian and saudi arabian leaders will hold a three-way summit in damascus , syria friday to discuss the latest developments in the middle east and the future of regional peace process .'",b'tripartite arab summit to be held in syria friday'
"b'president chen shui-bian called several u.s. lawmakers thursday night to congratulate them on their election or re-election in the just-concluded midterm elections , the presidential office said friday .'",b'president chen congratulates u.s. lawmakers on election victory'
"b'the bombing of the marriott hotel in islamabad killed two us military personnel assigned to the us embassy , defense officials in washington said monday .'",b'two us military personnel killed in islamabad bombing'
"b'a passenger train crashed into a freight train in west london today , reportedly killing three people and injuring others .'",b'trains crash in london killing three'
"b'iraqi voters gave the prime minister a resounding endorsement in provincial elections , choosing security over long-dominant religious parties in much of the country , according to results released thursday .'",b'iraqi prime minister is big winner in vote'
"b'a ukrainian freighter that had floated in limbo in new york harbor for four months , without orders and at times almost out of provisions , is scheduled to take on cargo wednesday morning and head off to the caribbean .'",b'stranded freighter off new york finally gets orders and cargo'
"b""president bush stepped monday into the controversy over the first part of the new medicare law that has gone into effect , acknowledging that `` we 've got some problems '' with the drug discount cards that became available two weeks ago .""",b'bush defends drug discount cards'
"b'the tanzanian government is to destroy ## tonnes of narcotics worth ## billion tanzanian shillings -lrb- ## million dollars -rrb- impounded at the port of dar es salaam a year ago , the official daily news reported here on thursday .'",b'tanzanian police to destroy impounded drugs'
"b'iran said on thursday that russia remains committed to completing construction of its first nuclear power plant , despite strings of delays and setbacks , state media reported .'",b'iran says russia committed to finishing nuclear plant'
"b""yasser arafat decided to bow out of this week 's arab summit on tuesday , a senior palestinian official announced , hours after israel 's prime minister imposed more conditions on the palestinian leader 's travels .""","b""palestinian leader yasser arafat wo n't attend arab summit in beirut"""
b'the iraqi-backed kurdistan democratic party -lrb- kdp -rrb- vowed wednesday to recover territory in northern iraq lost to a rival kurdish group .',b'iraqi-backed kurds vow to regain lost ground'
"b'on the day the seattle mariners won their first division title , officials of the professional baseball team insisted they will put the club up for sale if demands for a new stadium are not agreed to by oct. ## .'",b'mariners officials say they will sell team if demands for new stadium are not met'
b'bordeaux said thursday that european champions juventus had agreed to sign french international midfielder zinedine zidane for ## million francs -lrb- around #.# million dollars -rrb- .',b'zidane all set for juventus'
"b""a chinese foreign ministry official said monday that china will make `` concerted efforts '' with britain to enhance peace-keeping cooperation .""",b'china britain to enhance peace-keeping cooperation'
"b""the pound was trading near its lowest level against the dollar in two years on thursday , in the wake of the bank of england 's warning that the country 's economic growth will be flat for a year .""",b'sterling falls against the dollar'
b'the latest hostage release in a ##-day drama is widely seen as a public relations gesture by tupac amaru rebels to press their demands for a negotiated peace with the government .',b'a summary of late news from the associated press'
"b'federal police backed by armored vehicles and water cannons tore down barricades and stormed the once picturesque tourist city of oaxaca , taking control of the city center that was held by leftist protesters for five months .'",b'federal police storm mexico s embattled oaxaca ; ##-year-old killed'
"b""visiting german chancellor gerhard schroeder said on monday that the european union -lrb- eu -rrb- will be ready to admit new members in #### at the earliest if candidates meet the eu 's requirements , the slovak news agency reported .""",b'german chancellor visits slovakia'
"b'iran has been banned from hosting any international wrestling event until #### owing to crowd trouble at the #### freestyle championships in tehran , the official irna news agency said monday .'",b'iran banned from hosting international wrestling for crowd trouble'
"b""rising technology stocks drove the nasdaq composite index back toward #,### today while interest rate worries prevented blue chips from extending their recovery from tuesday 's selloff .""",b'nasdaq up ##.## ; dow up #.##'
"b""forget the offbeat wedding at the beach on horseback and try a parking lot setting on valentine 's day .""","b""cupid lets 'em fly at ikea wedding"""
"b""general david petraeus , who rises on tuesday from us military chief in iraq to lead all american forces in the middle east , has emerged as washington 's most successful and trusted general since vietnam .""",b'trusted general aims to repeat success as us mideast commander'
"b""spain 's national court anti-terror specialist judge baltasar garzon on tuesday ordered a suspected basque separatist jailed for allegedly belonging to a terrorist organization .""",b'spanish judge jails basque separatists'
"b'UNK alleged irregularities at ## indonesian state-owned enterprises may cause #.# trillion rupiahs -lrb- some ### million us dollars -rrb- financial loss for the country , a report from the state ministry for state enterprises has said .'",b'indonesian state-owned firms suffer financial loss in irregularities'
"b'israeli aircraft struck a series of targets throughout the gaza strip on thursday , killing ## palestinians -- including five youths and the son of a hardline hamas leader -- in a fresh upsurge in fighting that threatened to provoke even harsher israeli action .'",b'israel steps up pressure on hamas killing ## ; defense minister talks of invasion'
"b""the chinese government will inject at least ## billion yuan -lrb- #.# billion us dollars -rrb- to support scientific and technological research in areas that are critical to the nation 's sustainable development .""",b'china to boost scientific research for sustainable development'
"b'three civilians including two children were killed monday in an explosion planted by suspected islamic rebels in indian-administered kashmir , officials said .'",b'three civilians killed in kashmir blast'
"b""a health official says a ##-year-old man from northern vietnam has died of bird flu , in the country 's second death from the disease this year .""",b'vietnam reports #nd bird flu death of the year'
"b""oil was modestly higher in asian trade wednesday ahead of the release of a widely monitored us government report on the country 's energy reserves .""",b'oil slightly higher ahead of us energy reserves data'
b'police investigating the death of a ##-year-old girl said monday she may have died of an overdose of the drug ecstasy .',b'ecstasy overdose suspected in death of girl ##'
"b""for an unlucky few , there 's a third option -- acceptance and rejection , perhaps the hardest of all to hear .""","b""after years of rejection smith 's moment arrives"""
"b'chinese premier wen jiabao friday said china should continue its battle against corruption in governments at all levels this year , while striving for substantial progress in solving the outstanding problems that jeopardize the interests of the people .'",b'chinese cabinet sets priorities for anti-graft battle'
"b'an unrepentant tony blair defended his decision to join the united states in attacking iraq , arguing friday before a british panel investigating the war that the sept. ## , #### attacks made the threat of weapons of mass destruction impossible to ignore .'",b'blair offers his justification for iraq war'
"b""the room : every room needs balance , places for the eyes to focus , weight distributed throughout the room so it does n't appear lopsided .""",b'the fine art of balancing a room'
"b'business activity in the ## nations sharing the euro hit a record low in february , with output , new orders , employment and prices all down , a new survey showed on friday .'",b'eurozone business activity hits a new low'
b'it could be the storyline from a dick francis thriller .',b'hedgehunter under pressure from clan royal in bid for repeat triumph'
b'UNK biosciences inc. shares rose as much as ## percent after the biotechnology company said it received a patent covering its cell chamber used to produce human cells .',b'UNK shares rise after receiving patent for cell chamber'
"b'saint-denis , june ## -lrb- xinhua -rrb- -- hosts france led saudi arabia #-# at halftime .'",b'france lead saudi arabia #-# at halftime'
"b""iraqis vote saturday in the first nationwide election in three years , choosing provincial leaders in what amounts to a test of iraq 's stability as the u.s. plans to remove its troops .""",b'elections are test for al-maliki iraq'
"b""the shares price index of jordan 's amman stock market closed at #,### points on sunday , down ## points from thursday 's finish .""","b""jordan 's stock market index closes lower"""
"b'china on tuesday expressed its affirmation on a philippines inquiry report on a hostage-taking incident last month , but said the report needs to be further studied .'",b'china affirmative on philippines inquiry report on hostage-taking incident'
b'us president george w. bush saturday declared an emergency in parts of louisiana and texas where authorities searched for debris from the ill-fated space shuttle columbia .',b'bush declares emergency in parts of louisiana and texas'
"b""russia will meet holders france in this weekend 's fed cup final after seeing off off their semi-final opponents austria here on thursday .""",b'russia through to fed cup final'
"b""the man who tipped walt disney co. that documents related to the lawsuit over winnie the pooh royalties were being stolen said he helped retrieve some of those papers from the company 's trash , but he lied about actually breaking into the entertainment giant 's offices , according to taped testimony played in court wednesday .""",b'disney targets UNK in winnie the pooh hearing'
"b'turkey has again defended its treatment of jailed kurdish leader abdullah ocalan saying it has invited a european anti-torture group to visit his new prison cell , the foreign ministry said .'",b'turkey invites anti-torture group to visit jailed kurdish leader'
"b""researchers figure children like michael kearney are born at the rate of about one in a million and there are no more than about ## `` exceptionally gifted children '' in the world at any given time .""",b'researchers say exceptionally gifted kids are # in a million'
"b'tokyo stocks continued to drop monday afternoon , with the benchmark nikkei index sliding below # , ### for the first time since march #### .'","b'nikkei slides below #,###'"
"b""south korea 's foreign minister said wednesday that north korean leader kim jong il 's recent visit to china should have `` very positive implications '' for the resumption of stalled talks on pyongyang 's nuclear program .""","b""skorean minister says nkorean leader 's visit to china bodes well for nuclear talks"""
"b'the first time rocco mediate played golf with arnold palmer , he took $ ## off him and the scorecard , too .'",b'a healthy mediate seeks career redemption'
"b""morini , albania -lrb- ap -rrb- -- large numbers of refugees from kosovo 's capital pristina arrived at the border wednesday , claiming serb police were going from house to house ordering ethnic albanians to leave .""",b'pristina refugees arrive in albania with stories of forced'
"b'thai stocks rose #.# percent friday in active trading due to impressive earnings posted by the banking and finance sectors and positive sentiment after gains in us markets , analysts said .'",b'thai stocks close #.# percent firmer'
"b""myanmar 's military authorities on tuesday denied reports that opposition leader aung san suu kyi was hurt in a clash between her supporters and pro-junta protesters , but refused to disclose where she was being held , diplomats said .""",b'myanmar junta denies reports that detained suu kyi hurt in clash'
"b""a south korean christian group was thursday facing the prospect of its `` peace festival '' in strictly islamic afghanistan being called off after some of its followers were turned away at the borders and others were battling to get visas .""",b'tensions over christian rally in islamic afghanistan'
b'the confederation of african rugby under ## tournament will start in the kenyan capital nairobi on tuesday .',b'african u-## rugby tournament set to start in kenya'
"b""the federal reserve 's emergency weekend move to help ease credit gridlock is likely to be followed by a further cut in us interest rates tuesday in a bid to stem a mushrooming financial crisis , analysts say .""",b'fed likely to follow emergency move with fresh rate cut'
"b'beetle-browed , humanlike creatures may have been neighbors with anatomically modern humans in java as recently as ##,### years ago , researchers say .'",b'primitive and modern humans may have been neighbors researchers'
"b""nato 's battle with the taliban in southern afghanistan and a possible extension of the alliance 's support for african peacekeepers in darfur are set to dominate a meeting of allied defense ministers this week on slovenia 's adriatic coast .""",b'afghanistan set to dominate nato ministers meeting'
"b'iran has agreed to answer questions on past nuclear experiments and will allow u.n. nuclear inspectors banned earlier this year from visiting a heavy water reactor to the facility under construction before the end of the month , the international atomic energy agency said .'",b'in compromise iran agrees to allow u.n. nuclear monitor to inspect reactor'
"b""stocks pointed to a lower opening tuesday as investors awaited the government 's consumer inflation gauge and prepared themselves for another batch of first-quarter earnings reports .""",b'u.s. stocks head toward slightly lower open ahead of consumer price index earnings'
"b""a judge has ordered the ##-year-old son of actor ryan o'neal back to rehab weeks after he and his father were arrested on suspicion of drug possession .""",b'judge orders redmond o neal into detox'
"b'king hussein of jordan received today a visiting israeli delegation which groups a number of arabs and jews , radio jordan reported .'",b'king hussein meets with israeli delegation'
b'with mike weir a lead has never been a sure thing and sunday was no different .',"b""canada 's weir shoots ## to defend los angeles pga title"""
"b'turkey said wednesday its economy is expected to shrink by # percent year-on - year in #### , the semi - official anatolia news agency reported .'",b'turkish economy expected to shrink # pct in ####'
"b""indonesian president megawati soekarnoputri is to send the country 's special envoy nana UNK to the democratic people 's republic of korea -lrb- dprk -rrb- on dec. # to seek the solution of the nuclear issue .""",b'indonesian president to send envoy to dprk'
"b""after a strong start , the johannesburg security exchange ended well off its highs on wednesday as players took profits following the bourse 's strong run in recent days .""",b'johannesburg stock ends off highs on profit taking'
"b'indonesian share prices closed #.## percent lower thursday led by telkom as retail investors left the market ahead of a week-long ramadan holiday , dealers said .'",b'jakarta shares close down on telkom ahead of holiday'
"b""chinese academicians believe that sustainable development in china 's agriculture in the years to come will best be maintained by water conservation , planting trees along farmland and farming on a fairly large scale .""",b'ways for sustainable development in agriculture suggested'
"b'a total of ### kilograms -lrb- ### pounds -rrb- of heroin was seized from two separate groups of smugglers on the tajik-afghan border thursday , officials said .'",b'heroin smugglers stopped on tajik-afghan border'
"b""ivory coast 's army claimed monday to have retaken the city of man from a band of insurgents who had seized the city in the rich , cocoa-producing west five days earlier .""",b'ivory coast army says it has reclaimed key city in rebel-held western region'
"b""mark o'meara said he talked to jarmo sandelin tuesday night and things were cordial .""","b""o'meara sandelin talking"""
"b'in the latest sign of u.s.-russian tensions over iraq , the foreign ministry alleged wednesday that american airstrikes had targeted a residential baghdad neighborhood where the russian embassy is located .'",b'russia protests u.s. bombing of baghdad district housing russian embassy'
"b""heavy monsoon rains have killed eleven people and driven ###,### from their homes across sri lanka , the island 's disaster management center said monday .""",b'sri lanka floods kills seven displace tens of thousands'
"b'russell g. cleary , who built the g. heileman brewing co. into one of the largest breweries in the country , died on thursday in the UNK lutheran medical center in la crosse , wis. , of complications from heart surgery .'",b'russell cleary ## builder of heileman brewing'
"b""hollywood 's latest serial-killer thriller , `` the cell , '' is a visually impressive but exceedingly unpleasant little nail-biter about a child psychologist -lrb- jennifer lopez -rrb- who uses some new virtual-reality gizmo that allows her to enter the subconscious mind of her patients .""",b'looks great but cell is a vile place'
b'france will miss goalkeeper gregory coupet at their euro #### group b qualifier against georgia at auxerre on wednesday .',"b""goalie coupet to skip france 's euro #### qualifier against georgia"""
"b""libya 's foreign minister has dismissed as a joke a decision this week by the arab league to respect a six-year u.n. ban on flights to or from libya .""",b'libya calls arab league stand on sanctions a joke'
b'federal authorities accused a baltimore cab driver thursday of conspiring to help the armed wing of a pakistan-based religious organization labeled a terrorist group by the u.s. government .',b'cab driver is accused of aiding terrorist group'
"b""zimbabwe 's information , posts and telecommunications minister joyce mujuru today said she will introduce legislative changes to allow for private broadcasting in zimbabwe before mid-year .""",b'airwaves to be freed before mid-year in zimbabwe'
b'johannesburg beat rival bids from cape town and durban to host the international broadcast center for the #### world cup .',b'johannesburg chosen as broadcast center for #### world cup'
"b'embattled taiwan president chen shui-bian on saturday told tens of thousands of applauding supporters to value democracy , as his critics continued call for his resignation amid allegations of corruption .'",b'embattled taiwan president praises democracy at mass rally of supporters in southern city'
"b""indian stocks rose #.## percent wednesday amid signs foreign funds were returning to the market as the country 's new left-leaning government kept up a charm offensive to woo investors .""",b'indian stocks up #.## pct on hopes foreign investors return'
"b""the angolan government and unita rebels resumed peace negotiations here tuesday , bidding to put the finishing touches to an accord to end the country 's long-running civil war .""",b'angolan peace talks resume'
"b'consumer prices in the united states rose by the largest rate in five years in #### , reflecting a surge in energy costs , although other prices remained well behaved .'",b'u.s. consumer prices rise at fastest pace in five years'
"b""president olusegun obasanjo on friday warned `` bandits '' in restive niger delta against lawlessness and assured the international community that his government would not abandon the region to brigands , a statement from his office said .""",b'nigerian president warns bandits in restive niger delta against lawlessness'
"b'retail sales rose #.# percent to a record high of ##.# billion canadian dollars -lrb- about ##.# million us dollars -rrb- in february , after increasing #.# percent in january , statistics canada reported wednesday .'",b'retail sales up in canada'
b'the uruguayan national soccer team returned to montevideo on thursday noon after its elimination from the world cup finals UNK by south korea and japan .',b'uruguayan national soccer team return home'
"b'a court retrying a large smuggling case in the southern province of jiangsu ruled that a man previously sentenced to life in prison should be executed , a chinese newspaper reported sunday .'",b'smuggler in china sentenced to death ; three gang members executed'
"b""the new york metropolitan region _ the nation 's pre-eminent urban center , and a worldwide symbol of opportunity _ faces the threat of a long-term economic decline in the ##st century unless residents and politicians summon the will and resources to begin a multibillion-dollar campaign of transportation improvements , education reforms and urban rejuvenation , a major planning group said tuesday .""",b'report warns that new york region may face decline'
"b""britain 's bid to generate large amounts of electricity by burning biomass such as trees , plants and organic waste has all but collapsed .""",b'biomass project burns out'
"b'syrian prime minister mohammad naji ottri sent on monday a cable of congratulations to ibrahim jaafari on his nomination as the new iraqi prime minister , the official sana news agency reported .'",b'syrian pm congratulates jaafari on nomination as new iraqi premier'
"b""by every account , the new year 's day #### fight between inmates and guards at bayside state prison was terrifying , with broomsticks and clothing irons used as weapons and blood splattering the floor and walls .""",b'inmates guards tell different versions of new jersey prison fight'
"b""an indonesian court on thursday postponed a judicial review hearing in the case of a prominent activist 's murder when the main defendant did not show up .""",b'indonesia court postpones activist murder case review'
"b'parents will soon be able to download free software that can block inappropriate websites from their children , an education official said at a press briefing friday .'",b'free UNK software offered to public'
"b'opposition leader morgan tsvangirai on saturday returned to zimbabwe for the first time in more than two months , ahead of new talks with president robert mugabe on reviving a power-sharing deal .'",b'opposition leader returns to zimbabwe ahead of talks'
"b'-lrb- phoenix -rrb- - after ## years in arizona , intel corp. spins off its first new company into the state economy today , may ## .'",b'#st intel spinoff for state'
"b""a lawyer for montenegro 's prime minister says an italian judge has dropped an investigation into alleged cigarette smuggling by the montenegrin premier .""",b'italians drop investigation of montenegro premier'
"b'a suspected motorbike thief was burned to death when an indonesian police chief doused him in gasoline during interrogation before lighting a cigarette that inadvertently set him alight , police said wednesday .'",b'indonesian police chief accidentally burns motorbike thief to death'
"b""polish voters in sunday 's election will choose between presidential candidates with sharply different personalities and differing views on how far to go in embracing market reforms .""",b'poles face choice between UNK and law-and-order conservative'
"b""the american public is not satisfied with the country 's political leadership , with only ## percent of the surveyed approving of the performance of president george w. bush , according to a poll released on thursday .""",b'poll finds american public dissatisfied with political leadership'
"b'after months of bickering , house and senate negotiators said on thursday night that they were close to a final deal on legislation to provide up to $ ### billion of support to the insurance industry for future terrorist attacks .'",b'deal is reported on $ ### billion in aid to insurers facing terror'
"b""prices on taipei 's stock index futures market reported mixed results on wednesday when the taiwan stock exchange capitalization weighted index futures for july moved up ## points to close at #,### , with #,### contract transactions .""",b'prices mixed on taipei futures market'
"b""china 's tax revenue totaled #.#### trillion yuan -lrb- ###.## billion us dollars -rrb- in the first three quarters , an year-on-year increase of ##.# percent or ###.# billion yuan , according to the state administration of taxation .""","b""china 's tax revenue close to # trillion yuan in first three quarters"""
"b'a chinese political advisor on thursday urged more use of recycled water , in a bid to relieve water shortages that plague many cities of the country .'",b'chinese political advisor calls for more use of recycled water'
b'liverpool will be trying to become the fourth english team to reach the champions league quarterfinals when it faces inter milan on tuesday .',b'liverpool seeks to finish off inter in champions league quarterfinals'
b'australian researchers have identified a cluster of genes linked to chronic fatigue syndrome which may help finally explain the mysterious condition .',b'australian scientists identify gene cluster relating to chronic fatigue'
b'the organization of african unity -lrb- oau -rrb- secretary general salim ahmed salim said here today that ending insecurity in burundi is a key to hastening the peace process negotiations .',b'oau chief attends burundi peace meeting'
"b""twenty-two rebels of the outlawed kurdish workers ' party -lrb- pkk -rrb- were killed in the six-day military operations of government troops in southeastern turkey linking northern iraq .""",b'## pkk rebels killed in southeastern turkey'
"b'us shares sank further thursday , with the dow blue-chip index tumbling below ##,### amid heightened jitters on wall street about a cooling of the us economy and corporate profits .'","b'us shares sinks lower as dow retrenches below ##,###'"
b'french foreign minister herve de charette visited egypt on monday rather than accompany president jacques chirac to israel because of a dispute over a planned meeting with palestinians in jerusalem .',b'french fm visits egypt while chirac in israel'
"b""industrialised economies have `` sailed '' and `` skated '' through oil and hurricane shocks and are set fair for overall growth of #.# percent this year and #.# percent in #### and #### , the oecd said on tuesday .""",b'leading economies sail and skate towards #.#-percent growth'
"b""as mozambique celebrated its ##th year of independence , president joaquim chissano used the holiday to bolster his party 's presidential candidate in the #### elections .""","b""on mozambique 's independence day chissano boosts his successor"""
b'priscilla presley plans to speak at the opening of a drug rehabilitation center in michigan on saturday .',b'priscilla presley to help inaugurate new drug rehab center in michigan'
"b""the sale of a ## percent stake in the insurance and pension businesses of mexico 's grupo financiero banorte to italian insurer assicurazioni generali spa could carry a final price tag of dlrs ### million , the two companies said tuesday .""","b""sale of mexico 's banorte to italy 's generali could reach $ ###"""
"b'a late-night ambush that claimed three lives in #### added a fourth tuesday when the shooter , christopher coleman , was executed by the state of texas .'",b'man executed for ambush that killed #'
"b'lance davids , hard tackling midfielder of south african national football team , locally known as bafana bafana , will not be star struck when he lines up against nigeria in what could be the biggest match of his career in abuja on sunday .'",b'south african football team not scared of nigeria'
"b""the swedish police 's publication of photos showing the face of an unidentified man who may be a suspect in the killing of foreign minister anna lindh has not led to any hot leads in the inquiry , police said monday .""",b'no hot leads in lindh murder despite photos of possible suspect'
"b'while sales have picked up a bit in some suffering housing markets in the west , creating a glimmer of hope that home prices nationwide may be approaching a bottom , the manhattan real estate market has just begun a steep slide .'",b'as some housing markets rise slump catches up to manhattan'
b'authorities and residents in western denmark on monday were chasing thousands of minks that escaped from a farm in what police suspect was an overnight raid by animal rights activists .',"b'#,### minks freed from fur farm in denmark'"
b'sao paulo has advanced to copa libertadores semifinals with hernanes and dagoberto scoring goals in a #-# victory at home over fellow brazilian club cruzeiro .',b'sao paulo advances to copa libertadores semifinals'
"b'after beating long-time leader mallorca #-# to reach the top of the spanish soccer league , celta vigo now has a tougher job .'",b'celta looks for big win to consolidate top position in spanish'
"b'the executive board of the international monetary fund has praised the strong economic performance of the philippines last year , officials said tuesday .'",b'imf praises philippine economic growth'
b'the vietnamese government denied friday that it held any political prisoners and condemned critics of its human rights record for meddling in its internal affairs .',b'vietnam attacks human rights critics'
"b""the taiwan branch of cambodia 's angkor airways corp. announced friday that it was temporarily suspending all of its flights between taipei and siem reap , home to the world famous angkor wat complex , effective immediately , because of financial woes .""",b'angkor airways stops UNK flights due to financial crisis'
"b""the nation 's population will look dramatically different by mid-century , becoming more racially and ethnically diverse and a good deal older as it increases from about ### million to ### million by #### , according to projections released thursday by the census bureau .""",b'u.s. to grow grayer more diverse'
"b""that grating concern of who could become the los angeles lakers ' third option has been answered definitively - and not by the big-name acquisitions -lrb- isaiah rider , horace grant -rrb- or the exciting rookie -lrb- mike penberthy -rrb- .""",b'lakers third option looks familiar'
b'big dutch electronics group philips said monday that it is shifting its headquarters for computer monitors from the netherlands to taiwan .',b'philips transfers computer monitor office to taiwan'
"b'yemeni tribesmen have blasted a hole in a pipeline operated by the u.s. hunt oil co. , spilling ##,### barrels of oil and sparking battles between tribesmen and security forces , company officials and tribal elders said saturday .'",b'yemen pipeline blast spills oil'
"b""shenyang in northeast china ' s liaoning province has recently honored ## foreign experts working in the city with the `` rose award '' for their outstanding contributions .""",b'award given to foreign experts in shenyang'
"b""in a remarkable statement of reconciliation , the preamble to south africa 's new constitution reads : `` we the people of south africa recognize the injustices of our past ; honor those who suffered for justice and freedom in our land ; and believe that south africa belongs to all who live in it , united in our diversity .""",b'south africans providing model of reconciliation'
"b""u.s. forces moved into president saddam hussein 's hometown of tikrit monday , battling hard-core iraqi fighters .""",b'u.s. forces begin moving on tikrit ; seven american pows flown to kuwait ; iraqi snipers american forces battle outside baghdad hotel'
"b""a report of the u.n. secretary-general 's aborted human rights investigative team in the democratic republic of the congo wednesday pointed to evidence that killing in the country constituted crimes against humanity .""","b""u.n. reports on congo 's human rights violation"""
"b""five people have been killed in indonesia 's violence-plagued aceh province despite peace talks between the government and separatist rebels over the weekend , sources said thursday .""",b'violence continues in aceh despite peace talks'
"b'a drunk man picked a fight with a british tourist , who died from the attack , an australian jury was told wednesday .'",b'man in australia accused of murdering british tourist'
"b'egyptian minister of culture farouk hosni announced on wednesday the discovery of a #,###-year-old burial chamber which belongs to a priest named UNK from ##th dynasty -lrb- ### b.c. -rrb- .'",b'egypt discovers ancient burial chamber in luxor'
"b""us secretary of state hillary clinton , on her first visit to the middle east as america 's top diplomat , on monday reiterated washington 's willingness to engage with iran if it `` UNK its fist .""",b'clinton reiterates desire to engage with iran'
b'the security council resumed a two-day open debate on iraq on wednesday in which most speakers have so far opposed us calls for un authority to use disarm iraq by force .',b'security council resumes two-day debate on iraq'
"b'for the second time in two days , defense lawyers on tuesday unsuccessfully sought a mistrial in the fraud case against conrad black , as prosecutors tried to salvage testimony about personal travel perks the former media mogul allegedly charged to company coffers .'",b'u.s. judge denies mistrial motion from conrad black lawyer in fraud case'
b'george karl allowed himself to gush after another wild and wonderful performance friday night by his surging and soaring sonics .',b'defending champs still have sonics respect'
"b'ada lois UNK fisher , the black honors graduate who needed a backhanded assist from the u.s. supreme court in #### to win admission to the university of oklahoma law school , died wednesday at her home in oklahoma city .'",b'ada fisher broke law school color barrier ##'
"b'beset by guerrilla violence and its worst recession since the ####s , colombia might seem an odd place to convene a meeting of high-powered business moguls that included the chairmen of america online and mitsubishi .'",b'strife-torn colombia holds meeting'
"b""new york mayor michael bloomberg announced thursday that he would seek a third term as mayor , a move which would require overturning the city 's term limitations law .""",b'bloomberg to seek third term as ny mayor'
"b'us-based UNK is to begin exploring for oil off the bangladesh coast soon , the official bss news agency reported saturday .'",b'UNK to explore oil in bangladesh'
"b'the u.s. dollar was trading at ###.## yen on the tokyo foreign exchange market at # p.m. -lrb- #### gmt -rrb- monday , down #.## yen from late friday .'",b'dollar lower against yen in tokyo'
"b'with immigrants pouring into the new york area and vying for the UNK jobs , many are facing a growing and particularly painful form of exploitation : unscrupulous employers who fail to pay some or all of their relatively low wages .'",b'bill seeks to make sure immigrants get paid'
"b""authorities arrested guatemala 's anti-drug czar and national police chief tuesday in a case involving stolen cocaine and slain police , acting just two days before u.s. secretary of state hillary rodham clinton arrives to discuss the drug war .""",b'guatemala arrests national police chief drug czar'
b'anna kournikova got a grand slam monkey off her back here monday with a polished performance to avoid yet another first round exit .',b'kournikova all smiles after breaking first round duck'
"b""assailants hurled a grenade at the venezuela telecommunications commission 's offices early saturday , a day after regulators seized transmission equipment from the opposition 's private television station globovision .""","b""small blast after chavez seizes opposition tv station 's equipment"""
"b""a large swathe of the gulf of mexico remained closed to fishing wednesday as fears that a giant oil slick could hit florida 's beaches and corals reefs overshadowed progress in stemming the spill .""",b'us bans more gulf fishing as oil fears grow for florida'
"b""president chen shui-bian will meet with african allies early next week , taiwan 's foreign minister said tuesday , in a further effort to beat back attempts by rival china to deplete the island 's diminishing number of foreign partners .""",b'taiwanese president to meet with african allies'
"b'japanese share prices fell #.## percent friday morning , hit by losses on wall street and weaker-than-expected japanese gross domestic product -lrb- gdp -rrb- data for the april-june quarter , dealers said .'",b'tokyo stocks tumble #.## percent in morning trade after soft gdp data'
"b'these business stories for release wednesday , september ## , #### , are moving today to clients of the new york times news service .'",b'cox news service business budget'
"b""serbia 's government on friday disputed u.n. secretary-general ban ki-moon 's plan to change the world body 's role in kosovo now that it has declared independence .""",b'serbia criticizes un chief s plan to reconfigure body s kosovo mission'
